,Manufacturer,Model,Price,Transmission,Power,Engine_CC,Fuel,Male,Female,Gender_Unclassified,Total
428,Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,2396708,1468001,219642,4084351
429,Toyota,Cressida,18.97175,5.0,75.25,2214.5,diesel,4590,815,102,5507
430,Toyota,GT86,59.7575,6.0,147.0,1998.0,petrol,1812,422,144,2378
431,Toyota,Hilux,46.60136364,6.0,110.0,2393.0,diesel,25217,4583,1282,31082
432,Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,petrol,24388,31039,4741,60168
433,Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,375243,182894,26548,584685
434,Toyota,Paseo,15.764000000000001,5.0,66.0,1497.0,petrol,14720,14697,1537,30954
435,Toyota,Picnic,25.29875,4.5,94.0,1998.0,petrol,70740,31891,7612,110243
436,Toyota,Previa,43.08,4.666666667,105.0,2239.666667,petrol,264245,104657,26355,395257
437,Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,petrol,655660,656904,94328,1406892
438,Toyota,Starlet,11.389000000000001,4.1428571430000005,53.0,1308.285714,petrol,194922,279906,23676,498504
439,Toyota,Supra,81.295,8.0,250.0,2998.0,petrol,106110,16040,3640,125790
440,Toyota,Tercel,9.999666667,4.333333333,49.33333333,1347.666667,petrol,32253,16231,1628,50112
441,Toyota,Urban,20.21333333,6.0,74.0,1329.0,petrol,7637,7169,1094,15900
442,Toyota,Verso-S,22.046999999999997,3.6,73.0,1329.0,petrol,1546,1034,177,2757
443,Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,1123228,1815123,238300,3176651
444,Triumph,Acclaim,6.050333332999999,4.333333333,52.0,1335.0,petrol,150541,71429,4718,226688
445,Triumph,TR7,13.137,5.0,93.5,1998.0,petrol,22556,4452,1005,28013
446,Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,petrol,291074,526182,51977,869233
447,Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.5882350000002,petrol,369080,114329,23909,507318
448,Volkswagen,CC,46.95322222,6.1111111110000005,126.7777778,1977.1666670000002,diesel,2631,414,81,3126
449,Volkswagen,Caddy,24.75629032,5.709677419,81.74193548,1735.580645,diesel,3563,1448,268,5279
450,Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,88966,16912,4918,110796
451,Volkswagen,Derby,7.55925,4.0,38.75,1137.75,petrol,6845,4282,309,11436
452,Volkswagen,Eos,42.2862,6.0,113.8,1740.0,petrol,36381,47857,6987,91225
453,Volkswagen,Fox,12.49833333,5.0,48.66666667,1336.666667,petrol,33240,55672,5045,93957
454,Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,6856310,4420689,655247,11932246
455,Volkswagen,Jetta,31.30566667,6.259259258999999,96.92592593,1587.222222,petrol,338151,109520,16786,464457
456,Volkswagen,Lupo,13.88308333,4.75,47.75,1373.75,petrol,106397,202809,18809,328015
457,Volkswagen,Passat,46.06451282,6.487179487000001,125.43589740000002,1835.8461539999998,petrol,2802196,657681,187983,3647860
458,Volkswagen,Phaeton,146.27461540000002,5.769230769,234.84615380000002,4089.9230770000004,petrol,7447,595,420,8462
459,Volkswagen,Polo,18.1925,5.074074073999999,60.96296296,1408.055556,petrol,3656888,4881887,499911,9038686
460,Volkswagen,Santana,14.93453333,4.333333333,59.6,1655.066667,petrol,12536,2795,383,15714
461,Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,243328,87560,12065,342953
462,Volkswagen,Sharan,45.6995,6.0,114.0,1854.2,diesel,309740,115751,32635,458126
463,Volkswagen,Tiguan,44.30857143,6.714285714,108.0,1663.9285710000001,petrol,68523,43982,5481,117986
464,Volkswagen,Touareg,94.098125,8.0,190.0,2967.0,diesel,86872,30965,5203,123040
465,Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,diesel,241607,143740,25887,411234
466,Volkswagen,Transporter,35.37645833,6.0,103.08333329999999,1968.0,diesel,12198,3198,858,16254
467,Volkswagen,Up,17.065625,5.125,51.375,999.0,petrol,14600,25079,1506,41185
468,Volkswagen,Vento,18.16715385,4.692307692,70.30769231,1932.1538460000002,petrol,92436,27701,5930,126067
469,Volvo,440,20.27896296,4.1111111110000005,72.85185185,1832.888889,petrol,799023,322525,55354,1176902
470,Volvo,460,20.49710714,4.1428571430000005,72.42857143,1824.4285710000001,petrol,210645,68623,12857,292125
471,Volvo,850,36.38445588,4.5,125.70588240000001,2294.764706,petrol,419094,91275,29662,540031
472,Volvo,940,30.236875,4.5,110.0,2316.0,petrol,455609,106244,30834,592687
473,Volvo,960,40.7645,4.333333333,133.3333333,2634.222222,petrol,86660,16311,5761,108732
474,Volvo,C30,32.489891300000004,5.304347826,113.28260870000001,2093.0217390000003,petrol,61779,44293,6405,112477
475,Volvo,C70,52.19640625,5.3125,126.5,2323.9375,petrol,104083,44105,9065,157253
476,Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,574673,179290,45309,799272
477,Volvo,S60,52.085,8.0,223.83333330000002,1969.0,petrol,249455,44734,16919,311108
478,Volvo,S70,36.90769355,4.5,126.14516129999998,2344.0,petrol,63069,10209,3757,77035
479,Volvo,S80,50.94,6.266666667000001,138.2833333,1986.766667,diesel,181356,25517,12375,219248
480,Volvo,V40,35.81481651,6.293577982,117.43119270000001,1921.46789,petrol,487153,195352,44401,726906
481,Volvo,V50,36.52419118,5.176470588,113.3529412,2106.5,petrol,154491,59796,13160,227447
